ID de règle,Description,Action,État,Groupe de règles,Ensemble de règles
100100,Malicious bots detected by threat intelligence,Block,Enabled,BadBots,Microsoft_BotManagerRuleSet_1.0
100200,Malicious bots that have falsified their identity,Block,Enabled,BadBots,Microsoft_BotManagerRuleSet_1.0
200100,Search engine crawlers,Allow,Enabled,GoodBots,Microsoft_BotManagerRuleSet_1.0
200200,Unverified search engine crawlers,Log,Enabled,GoodBots,Microsoft_BotManagerRuleSet_1.0
300100,Unspecified identity,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
300200,Tools and frameworks for web crawling and attacks,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
300300,General purpose HTTP clients and SDKs,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
300400,Service agents,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
300500,Site health monitoring services,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
300600,Unknown bots detected by threat intelligence,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
300700,Other bots,Log,Enabled,UnknownBots,Microsoft_BotManagerRuleSet_1.0
930100,Path Traversal Attack (/../),AnomalyScoring,Enabled,LFI,Microsoft_DefaultRuleSet_2.1
930110,Path Traversal Attack (/../),AnomalyScoring,Enabled,LFI,Microsoft_DefaultRuleSet_2.1
930120,OS File Access Attempt,AnomalyScoring,Enabled,LFI,Microsoft_DefaultRuleSet_2.1
930130,Restricted File Access Attempt,AnomalyScoring,Enabled,LFI,Microsoft_DefaultRuleSet_2.1
931100,Possible Remote File Inclusion (RFI) Attack: URL Parameter using IP Address,AnomalyScoring,Enabled,RFI,Microsoft_DefaultRuleSet_2.1
931110,Possible Remote File Inclusion (RFI) Attack: Common RFI Vulnerable Parameter Name used w/URL Payload,AnomalyScoring,Enabled,RFI,Microsoft_DefaultRuleSet_2.1
931120,Possible Remote File Inclusion (RFI) Attack: URL Payload Used w/Trailing Question Mark Character (?),AnomalyScoring,Enabled,RFI,Microsoft_DefaultRuleSet_2.1
931130,Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link,AnomalyScoring,Enabled,RFI,Microsoft_DefaultRuleSet_2.1
932100,Remote Command Execution: Unix Command Injection,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932105,Remote Command Execution: Unix Command Injection,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932110,Remote Command Execution: Windows Command Injection,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932115,Remote Command Execution: Windows Command Injection,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932120,Remote Command Execution: Windows PowerShell Command Found,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932130,Remote Command Execution: Unix Shell Expression or Confluence Vulnerability (CVE-2022-26134) Found,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932140,Remote Command Execution: Windows FOR/IF Command Found,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932150,Remote Command Execution: Direct Unix Command Execution,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932160,Remote Command Execution: Unix Shell Code Found,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932170,Remote Command Execution: Shellshock (CVE-2014-6271),AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932171,Remote Command Execution: Shellshock (CVE-2014-6271),AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
932180,Restricted File Upload Attempt,AnomalyScoring,Enabled,RCE,Microsoft_DefaultRuleSet_2.1
933100,PHP Injection Attack: PHP Open Tag Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933110,PHP Injection Attack: PHP Script File Upload Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933120,PHP Injection Attack: Configuration Directive Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933130,PHP Injection Attack: Variables Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933140,PHP Injection Attack: I/O Stream Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933150,PHP Injection Attack: High-Risk PHP Function Name Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933151,PHP Injection Attack: Medium-Risk PHP Function Name Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933160,PHP Injection Attack: High-Risk PHP Function Call Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933170,PHP Injection Attack: Serialized Object Injection,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933180,PHP Injection Attack: Variable Function Call Found,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
933200,PHP Injection Attack: Wrapper scheme detected,AnomalyScoring,Enabled,PHP,Microsoft_DefaultRuleSet_2.1
